"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
75,"Commune de moins de 5000 habitants","Plus de 1500€",25,"Revenus du travail","Non",NA,900,"En physique, dans un magasin",1,"1","Non",100,0,NA,0,0,50,40,1839,0,0,0,0,0,"0",0,0,0,0,2500,2.5
56,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 3 (CAP ou BEP)",800,"En physique, dans un magasin",2,"2","Oui",30,1,"Carte Bancaire, sans contact",13,1,20,30,1405,1,1,1,1,1,"Entre 1 et 15",1,0,0,0,12500,12.5
58,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",15,"Revenus du travail","Non",NA,1500,"En physique, dans un magasin",2,"1","Non",60,1,"Carte Bancaire, sans contact",9,1,30,40,2425,0,0,1,0,0,"Entre 1 et 15",1,0,0,0,35000,35
22,"Commune de moins de 5000 habitants","Entre 501 et 1000€",45,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne et en physique",2,"2","Non",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",13,2,30,50,574,1,0,1,1,4,"Entre 1 et 15",1,1,0,0,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En ligne",5,"10","Non",50,1,"Carte Bancaire, sans contact",27,1,30,50,1364,0,0,1,1,4,"Entre 16 et 30",1,0,0,0,35000,35
20,"Commune de moins de 5000 habitants","Entre 0 et 500€",25,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 4 (Baccalauréat)",800,"En physique, dans un magasin",2,"3","Oui",5,0,NA,0,0,60,80,206,1,1,0,1,2,"0",0,0,0,0,2500,2.5
19,"Commune de moins de 5000 habitants","Entre 0 et 500€",5,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",100,"En ligne et en physique",1,"1","Non",100,1,"Carte Bancaire, sans contact",20,1,10,20,285,1,0,1,1,2,"Entre 16 et 30",1,0,0,0,2500,2.5
21,"Très grande ville (+ de 200 000 habitants)","Entre 501 et 1000€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",900,"En ligne et en physique",2,"10","Oui",200,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",12,2,50,300,749,1,1,1,1,4,"Entre 1 et 15",1,1,0,1,1500000,1500
29,"Commune de moins de 5000 habitants","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",200,"En physique, dans un magasin",4,"2","Oui",100,0,NA,0,0,100,200,769,1,1,0,1,3,"0",0,0,0,0,2500,2.5
49,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",1800,"En physique, dans un magasin",3,"3","Non",150,1,"Carte Bancaire, sans contact",17,1,100,70,2121,0,0,1,1,5,"Entre 16 et 30",1,0,0,0,35000,35
20,"Commune de moins de 5000 habitants","Entre 1001 et 1500€",25,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",800,"En ligne et en physique",3,"4","Non",120,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",18,2,60,130,1040,1,0,1,1,3,"Entre 16 et 30",1,1,0,0,2500,2.5
23,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",10,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 5 (BAC+2)",1000,"En ligne",10,"10","Non",1000,1,"Carte Bancaire, sans contact",23,2,50,50,1176,0,0,1,1,3,"Entre 16 et 30",1,0,0,0,35000,35
21,"Commune de moins de 5000 habitants","Entre 0 et 500€",30,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",150,"En ligne",5,"3","Oui",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",11,2,20,20,307,0,1,1,1,4,"Entre 1 et 15",1,1,0,0,2500,2.5
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne et en physique",1,"4","Non",50,1,"Carte Bancaire, sans contact",40,1,15,50,815,1,0,1,1,4,"Entre 31 et 45",1,0,0,0,1500000,1500
